competition_id;name;type;country_name
L1;bundesliga;first_tier;Germany
DFB;dfb-pokal;domestic_cup;Germany
DFL;dfl-supercup;domestic_super_cup;Germany
NL1;eredivisie;first_tier;Netherlands
NLP;toto-knvb-beker;domestic_cup;Netherlands
NLSC;johan-cruijff-schaal;domestic_super_cup;Netherlands
BE1;jupiler-pro-league;first_tier;Belgium
BESC;belgian-supercup;domestic_super_cup;Belgium
ES1;laliga;first_tier;Spain
CDR;copa-del-rey;domestic_cup;Spain
SUC;supercopa;domestic_super_cup;Spain
PO1;liga-portugal-bwin;first_tier;Portugal
POCP;allianz-cup;domestic_cup;Portugal
POSU;supertaca-candido-de-oliveira;domestic_super_cup;Portugal
FR1;ligue-1;first_tier;France
FRCH;trophee-des-champions;domestic_super_cup;France
GB1;premier-league;first_tier;England
CGB;efl-cup;domestic_cup;England
GBCS;community-shield;domestic_super_cup;England
RU1;premier-liga;first_tier;Russia
RUP;russian-cup;domestic_cup;Russia
RUSS;russian-super-cup;domestic_super_cup;Russia
UKR1;premier-liga;first_tier;Ukraine
UKRP;ukrainian-cup;domestic_cup;Ukraine
UKRS;ukrainian-super-cup;domestic_super_cup;Ukraine
SC1;scottish-premiership;first_tier;Scotland
SFA;sfa-cup;domestic_cup;Scotland
IT1;serie-a;first_tier;Italy
CIT;italy-cup;domestic_cup;Italy
SCI;supercoppa-italiana;domestic_super_cup;Italy
GR1;super-league-1;first_tier;Greece
GRP;kypello-elladas;domestic_cup;Greece
TR1;super-lig;first_tier;Turkey
DK1;superligaen;first_tier;Denmark
DKP;sydbank-pokalen;domestic_cup;Denmark
USC;uefa-super-cup;uefa_super_cup; 
CL;uefa-champions-league;uefa_champions_league; 
EL;europa-league;europa_league; 
KLUB;fifa-klub-wm;fifa_club_world_cup; 
ECLQ;uefa-europa-conference-league-qualifikation;uefa_europa_conference_league_qualifiers; 
CLQ;uefa-champions-league-qualifikation;uefa_champions_league_qualifying; 
ELQ;europa-league-qualifikation;europa_league_qualifying; 
