game_id;competition_code;season;round;date;home_club_id;away_club_id;home_club_goals;away_club_goals
2244388;SUC;2012;final 1st leg;2012-08-22;131;418;3;2
2219794;BESC;2011;Final;2012-07-22;58;498;3;2
2244389;SUC;2012;final 2nd leg;2012-08-29;418;131;2;1
2271112;DFB;2012;Round of 16;2012-12-18;48;60;0;1
2229332;DFL;2012;Final;2012-08-12;27;16;2;1
2258406;POCP;2012;Group D;2012-08-05;2423;3336;3;1
2240525;NLP;2012;First Round;2012-08-22;19934;16866;4;1
2240524;NLP;2012;First Round;2012-08-22;2821;2848;4;2
2504433;NLP;2012;First Round;2012-08-22;7474;34455;4;1
2254419;CDR;2012;First Round Replay;2012-08-30;2497;16486;2;0
2254425;CDR;2012;First Round Replay;2012-08-29;20963;21337;3;0
2221759;DFB;2012;First Round;2012-08-20;109;27;0;4
2240246;PO1;2012;30. Matchday;2013-05-19;294;979;3;1
2240245;PO1;2012;30. Matchday;2013-05-19;1085;1075;0;1
2243038;ES1;2012;38. Matchday;2013-06-01;237;366;4;2
2243028;ES1;2012;38. Matchday;2013-06-01;367;621;2;2
2243027;ES1;2012;38. Matchday;2013-06-01;3368;150;1;1
2252846;POSU;2012;Final;2012-08-11;720;2990;1;0
2229916;BE1;2011;1. Matchday;2012-07-28;601;58;1;1
2244655;FRCH;2011;Final;2012-07-28;969;1041;4;6
2224928;BE1;2012;24. Matchday;2013-01-27;2282;157;0;0
2243026;ES1;2012;38. Matchday;2013-06-01;131;1084;4;1
2242979;ES1;2012;37. Matchday;2013-05-26;331;368;2;1
2243021;ES1;2012;38. Matchday;2013-06-01;940;714;1;0
2254432;CDR;2012;First Round Replay;2012-08-30;21322;7077;1;0
2245309;CGB;2012;First Round;2012-08-14;337;2804;5;1
2245298;CGB;2012;First Round;2012-08-14;1219;1074;1;2
2245311;CGB;2012;First Round;2012-08-14;1302;603;2;1
2245317;CGB;2012;First Round;2012-08-14;3696;990;0;1
2245319;CGB;2012;First Round;2012-08-14;352;1237;3;0
2245321;CGB;2012;First Round;2012-08-14;358;1150;4;5
2225776;GB1;2012;38. Matchday;2013-05-19;1071;405;2;2
2225774;GB1;2012;38. Matchday;2013-05-19;379;1032;4;2
2242968;ES1;2012;38. Matchday;2013-06-01;368;1049;4;3
2225752;GB1;2012;38. Matchday;2013-05-19;180;512;1;1
2225749;GB1;2012;38. Matchday;2013-05-19;2288;931;0;3
2225762;GB1;2012;38. Matchday;2013-05-19;631;29;2;1
2225760;GB1;2012;38. Matchday;2013-05-19;31;1039;1;0
2243020;ES1;2012;38. Matchday;2013-06-01;418;331;4;2
2225737;GB1;2012;38. Matchday;2013-05-19;984;985;5;5
2225751;GB1;2012;37. Matchday;2013-05-14;1032;281;0;2
2225799;GB1;2012;37. Matchday;2013-05-14;11;1071;4;1
2225743;GB1;2012;38. Matchday;2013-05-19;148;289;1;0
2225742;GB1;2012;38. Matchday;2013-05-19;762;11;0;1
2243049;ES1;2012;38. Matchday;2013-06-01;142;13;1;3
2225747;GB1;2012;38. Matchday;2013-05-19;281;1123;2;3
2225768;GB1;2012;37. Matchday;2013-05-12;1039;762;1;2
2225766;GB1;2012;37. Matchday;2013-05-12;1123;984;4;0
2225761;GB1;2012;37. Matchday;2013-05-12;289;180;1;1
2225756;GB1;2012;37. Matchday;2013-05-12;512;148;1;2
2225803;GB1;2012;37. Matchday;2013-05-11;405;631;1;2
2225798;GB1;2012;36. Matchday;2013-05-05;985;631;0;1
2225790;GB1;2012;36. Matchday;2013-05-05;31;29;0;0
2225796;GB1;2012;36. Matchday;2013-05-04;1039;11;0;1
2225800;GB1;2012;36. Matchday;2013-05-04;148;180;1;0
2225797;GB1;2012;36. Matchday;2013-05-04;379;762;0;0
2242963;ES1;2012;38. Matchday;2013-06-01;16795;3709;2;0
2225795;GB1;2012;36. Matchday;2013-05-04;2288;281;0;0
2225758;GB1;2012;36. Matchday;2013-05-04;931;1032;2;4
2225757;GB1;2012;36. Matchday;2013-05-04;1123;405;1;2
2225781;GB1;2012;35. Matchday;2013-04-29;405;289;6;1
2225784;GB1;2012;35. Matchday;2013-04-28;11;985;1;1
2225783;GB1;2012;35. Matchday;2013-04-28;631;2288;2;0
2225786;GB1;2012;35. Matchday;2013-04-28;1032;1039;0;0
2225788;GB1;2012;35. Matchday;2013-04-27;762;31;0;6
2225792;GB1;2012;35. Matchday;2013-04-27;180;984;0;3
2225791;GB1;2012;35. Matchday;2013-04-27;512;1123;1;0
2225789;GB1;2012;35. Matchday;2013-04-27;1071;148;2;2
2243025;ES1;2012;38. Matchday;2013-06-01;897;681;0;1
2225787;GB1;2012;35. Matchday;2013-04-27;281;379;2;1
2225793;GB1;2012;36. Matchday;2013-05-06;289;512;1;1
2225804;GB1;2012;37. Matchday;2013-05-12;29;379;2;0
2225777;GB1;2012;34. Matchday;2013-04-21;31;631;2;2
2225782;GB1;2012;34. Matchday;2013-04-20;379;1071;2;0
2225778;GB1;2012;34. Matchday;2013-04-20;1123;1032;2;1
2225775;GB1;2012;34. Matchday;2013-04-20;2288;180;0;0
2225769;GB1;2012;37. Matchday;2013-05-12;931;31;1;3
2225772;GB1;2012;34. Matchday;2013-04-20;1039;512;0;2
2225771;GB1;2012;34. Matchday;2013-04-20;289;29;1;0
2225767;GB1;2012;34. Matchday;2013-04-20;931;11;0;1
2225748;GB1;2012;33. Matchday;2013-05-08;631;148;2;2
2225770;GB1;2012;33. Matchday;2013-05-07;1071;2288;2;3
2225755;GB1;2012;33. Matchday;2013-05-07;281;984;1;0
2225765;GB1;2012;33. Matchday;2013-04-14;512;985;0;2
2225753;GB1;2012;33. Matchday;2013-04-14;762;289;0;3
2225773;GB1;2012;34. Matchday;2013-04-20;984;762;1;1
2225763;GB1;2012;33. Matchday;2013-04-13;180;379;1;1
2225750;GB1;2012;33. Matchday;2013-04-13;29;1039;2;0
2225754;GB1;2012;33. Matchday;2013-04-13;1032;31;0;0
2225744;GB1;2012;33. Matchday;2013-04-13;11;1123;3;1
2225807;GB1;2012;32. Matchday;2013-04-08;985;281;1;2
2225802;GB1;2012;32. Matchday;2013-04-07;1039;1071;1;1
2225806;GB1;2012;32. Matchday;2013-04-07;762;931;1;0
2225805;GB1;2012;32. Matchday;2013-04-07;631;289;2;1
2245315;CGB;2012;First Round;2012-08-14;1028;3537;3;6
2225746;GB1;2012;32. Matchday;2013-04-07;148;29;2;2
2225745;GB1;2012;33. Matchday;2013-04-13;405;931;1;1
2225741;GB1;2012;32. Matchday;2013-04-06;984;11;1;2
2225740;GB1;2012;32. Matchday;2013-04-06;512;405;1;3
2225801;GB1;2012;32. Matchday;2013-04-06;1032;180;0;2
2225719;GB1;2012;31. Matchday;2013-04-01;931;1039;3;2
2225727;GB1;2012;31. Matchday;2013-03-31;405;31;1;2
2225722;GB1;2012;31. Matchday;2013-03-30;29;512;1;0
2225739;GB1;2012;31. Matchday;2013-03-30;379;984;3;1
2225738;GB1;2012;31. Matchday;2013-03-30;1071;1123;1;0
2225721;GB1;2012;31. Matchday;2013-03-30;11;1032;4;1
2225717;GB1;2012;31. Matchday;2013-03-30;180;631;2;1
2225715;GB1;2012;31. Matchday;2013-03-30;2288;148;1;2
2225709;GB1;2012;31. Matchday;2013-03-30;281;762;4;0
2225716;GB1;2012;31. Matchday;2013-03-30;289;985;0;1
2225723;GB1;2012;30. Matchday;2013-03-17;1071;762;2;1
2225714;GB1;2012;30. Matchday;2013-03-17;631;379;2;0
2225700;GB1;2012;30. Matchday;2013-03-17;148;931;0;1
2225808;GB1;2012;32. Matchday;2013-04-07;31;379;0;0
2225780;GB1;2012;34. Matchday;2013-04-21;148;281;3;1
2225794;GB1;2012;36. Matchday;2013-05-04;984;1071;2;3
2225701;GB1;2012;30. Matchday;2013-03-16;512;984;0;0
2225699;GB1;2012;30. Matchday;2013-03-16;180;31;3;1
2225764;GB1;2012;32. Matchday;2013-04-06;1123;2288;2;2
2225695;GB1;2012;30. Matchday;2013-03-16;2288;11;0;2
2225779;GB1;2012;34. Matchday;2013-04-22;985;405;3;0
2225735;GB1;2012;29. Matchday;2013-04-17;281;1071;1;0
2225785;GB1;2012;35. Matchday;2013-04-27;29;931;1;0
2225704;GB1;2012;30. Matchday;2013-03-16;29;281;2;0
2225720;GB1;2012;29. Matchday;2013-04-16;11;29;0;0
2225733;GB1;2012;29. Matchday;2013-03-10;762;512;2;1
2225706;GB1;2012;30. Matchday;2013-03-16;985;1032;1;0
2225708;GB1;2012;30. Matchday;2013-03-16;405;1039;3;2
2225734;GB1;2012;29. Matchday;2013-03-09;1032;405;1;2
2225730;GB1;2012;29. Matchday;2013-03-09;1039;289;3;1
2225705;GB1;2012;28. Matchday;2013-03-04;405;281;0;1
2225713;GB1;2012;28. Matchday;2013-03-03;148;11;2;1
2225736;GB1;2012;29. Matchday;2013-04-17;931;631;0;3
2225728;GB1;2012;28. Matchday;2013-03-02;180;1039;1;2
2225703;GB1;2012;29. Matchday;2013-04-17;379;985;2;2
2225726;GB1;2012;28. Matchday;2013-03-02;289;931;2;2
2225724;GB1;2012;28. Matchday;2013-03-02;512;379;0;1
2225712;GB1;2012;28. Matchday;2013-03-02;2288;762;1;0
2225710;GB1;2012;28. Matchday;2013-03-02;29;1032;3;1
2225707;GB1;2012;28. Matchday;2013-03-02;631;984;1;0
2225759;GB1;2012;37. Matchday;2013-05-12;985;2288;2;1
2250166;GB1;2012;27. Matchday;2013-02-24;762;180;4;2
2225729;GB1;2012;29. Matchday;2013-03-09;1123;180;0;0
2250167;GB1;2012;27. Matchday;2013-02-23;1123;29;2;1
2225725;GB1;2012;28. Matchday;2013-03-02;985;1123;4;0
2225711;GB1;2012;27. Matchday;2013-02-23;1039;985;0;2
2225697;GB1;2012;27. Matchday;2013-02-23;984;289;2;1
2225696;GB1;2012;27. Matchday;2013-02-23;1032;1071;0;3
2250163;GB1;2012;27. Matchday;2013-02-23;931;512;1;0
2250164;GB1;2012;27. Matchday;2013-02-17;31;2288;5;0
2225698;GB1;2012;30. Matchday;2013-03-17;289;1123;1;1
2250165;GB1;2012;27. Matchday;2013-02-24;281;631;2;0
2250152;GB1;2012;26. Matchday;2013-02-10;405;379;2;1
2225718;GB1;2012;28. Matchday;2013-03-02;1071;31;0;4
2250154;GB1;2012;26. Matchday;2013-02-11;31;984;0;2
2250160;GB1;2012;26. Matchday;2013-02-09;2288;1039;4;1
2250159;GB1;2012;26. Matchday;2013-02-09;289;11;0;1
2250162;GB1;2012;27. Matchday;2013-02-23;11;405;2;1
2250156;GB1;2012;26. Matchday;2013-02-09;1123;931;0;0
2250161;GB1;2012;26. Matchday;2013-02-09;148;762;2;1
2250145;GB1;2012;25. Matchday;2013-02-03;281;31;2;2
2250149;GB1;2012;25. Matchday;2013-02-03;984;148;0;1
2250144;GB1;2012;25. Matchday;2013-02-02;931;985;0;1
2250151;GB1;2012;25. Matchday;2013-02-02;1071;180;2;2
2250150;GB1;2012;25. Matchday;2013-02-02;379;2288;1;0
2225731;GB1;2012;29. Matchday;2013-03-09;984;2288;2;1
2225702;GB1;2012;27. Matchday;2013-02-25;379;148;2;3
2250146;GB1;2012;25. Matchday;2013-02-02;762;631;3;2
2250142;GB1;2012;25. Matchday;2013-02-02;11;512;1;0
2250147;GB1;2012;25. Matchday;2013-02-02;1039;1123;0;0
2250148;GB1;2012;25. Matchday;2013-02-02;1032;289;2;1
2258998;GB1;2012;24. Matchday;2013-01-30;1032;631;2;2
2258996;GB1;2012;24. Matchday;2013-01-30;985;180;2;1
2259005;GB1;2012;24. Matchday;2013-01-30;11;31;2;2
2259003;GB1;2012;24. Matchday;2013-01-30;29;984;2;1
2258997;GB1;2012;24. Matchday;2013-01-30;1123;148;1;1
2259002;GB1;2012;24. Matchday;2013-01-29;405;762;1;2
2259001;GB1;2012;24. Matchday;2013-01-29;1039;281;0;0
2259000;GB1;2012;24. Matchday;2013-01-29;289;2288;0;0
2258999;GB1;2012;24. Matchday;2013-01-29;512;1071;2;2
2258990;GB1;2012;23. Matchday;2013-01-21;180;29;0;0
2250155;GB1;2012;26. Matchday;2013-02-10;985;29;2;0
2258986;GB1;2012;23. Matchday;2013-01-20;631;11;2;1
2258993;GB1;2012;23. Matchday;2013-01-19;984;405;2;2
2250157;GB1;2012;26. Matchday;2013-02-09;180;281;3;1
2258995;GB1;2012;23. Matchday;2013-01-19;1071;289;2;3
2258994;GB1;2012;23. Matchday;2013-01-19;379;1039;1;1
2225732;GB1;2012;29. Matchday;2013-03-10;31;148;3;2
2258991;GB1;2012;23. Matchday;2013-01-19;2288;512;3;1
2258989;GB1;2012;23. Matchday;2013-01-19;762;1032;1;2
2258976;GB1;2012;22. Matchday;2013-01-13;11;281;0;2
2258980;GB1;2012;22. Matchday;2013-01-13;985;31;2;1
2258985;GB1;2012;22. Matchday;2013-01-12;289;379;3;0
2258984;GB1;2012;22. Matchday;2013-01-12;512;631;0;4
2259004;GB1;2012;24. Matchday;2013-01-30;931;379;3;1
2250153;GB1;2012;26. Matchday;2013-02-09;631;1071;4;1
2258988;GB1;2012;23. Matchday;2013-01-19;281;931;2;0
2258979;GB1;2012;22. Matchday;2013-01-12;931;1071;1;1
2258977;GB1;2012;22. Matchday;2013-01-12;405;180;0;1
2258982;GB1;2012;22. Matchday;2013-01-12;1039;148;0;0
2258969;GB1;2012;21. Matchday;2013-01-02;762;29;1;2
2258987;GB1;2012;23. Matchday;2013-01-19;31;1123;5;0
2258966;GB1;2012;21. Matchday;2013-01-02;631;1039;0;1
2258970;GB1;2012;21. Matchday;2013-01-01;180;11;1;1
2258975;GB1;2012;21. Matchday;2013-01-01;1071;985;0;4
2258974;GB1;2012;21. Matchday;2013-01-01;379;1123;2;1
2258972;GB1;2012;21. Matchday;2013-01-01;148;1032;3;1
2250143;GB1;2012;25. Matchday;2013-02-02;29;405;3;3
2258971;GB1;2012;21. Matchday;2013-01-01;2288;405;2;2
2250158;GB1;2012;26. Matchday;2013-02-09;512;1032;2;1
2258962;GB1;2012;20. Matchday;2012-12-30;1039;31;0;3
2258958;GB1;2012;20. Matchday;2012-12-30;29;631;1;2
2258956;GB1;2012;20. Matchday;2012-12-29;11;762;7;3
2258964;GB1;2012;20. Matchday;2012-12-29;512;180;3;3
2258963;GB1;2012;20. Matchday;2012-12-29;1032;379;1;0
2258961;GB1;2012;20. Matchday;2012-12-29;1123;281;3;4
2258960;GB1;2012;20. Matchday;2012-12-29;985;984;2;0
2258983;GB1;2012;22. Matchday;2013-01-12;1032;984;3;2
2258957;GB1;2012;20. Matchday;2012-12-29;405;1071;0;3
2258959;GB1;2012;20. Matchday;2012-12-29;931;2288;1;2
