player_id;current_club_id;pretty_name;date_of_birth;position;sub_position;foot;height_in_cm;market_value_in_gbp;country_of_citizenship
254016;855;Arthur Delalande;1992-05-18;Midfield;midfield - Central Midfield;Right;186;;France
51053;23;Daniel Davari;1988-01-06;Goalkeeper;Goalkeeper;Right;192;135000.0;Iran
31451;23;Torsten Oehrl;1986-01-07;Attack;attack - Centre-Forward;Right;192;;Germany
44622;3691;Vladimir Kisenkov;1981-10-08;Defender;Defender - Right-Back;Right;182;;Russia
30802;3302;Oscar Diaz;1984-04-24;Attack;attack - Centre-Forward;Right;183;;Spain
214776;43;Paul Mccallum;1993-07-28;Attack;attack - Centre-Forward;Right;191;;England
117549;3302;Rodri Rios;1990-06-06;Attack;attack - Centre-Forward;Right;174;270000.0;Spain
186796;3302;Hicham Khaloua;1995-05-07;Attack;attack - Second Striker;Right;174;360000.0;Morocco
273812;4750;Francis Kone;1990-11-22;Attack;attack - Centre-Forward;Right;189;68000.0;Togo
243827;9007;Olavale Fabunmi;1992-01-18;Midfield;midfield - Left Midfield;Right;187;;Ukraine
220795;1435;Guyon Philips;1993-10-15;Attack;attack - Centre-Forward;Both;193;23000.0;Netherlands
9796;2700;Oleksandr Aliyev;1985-02-03;Attack;midfield - Attacking Midfield;Both;173;;Ukraine
273548;1435;Maurice De Ruiter;1991-08-14;Attack;attack - Centre-Forward;Left;186;;Netherlands
235349;964;Artem Simonyan;1995-02-20;Attack;midfield - Attacking Midfield;Both;178;270000.0;Armenia
90255;9007;Frantisek Kubik;1989-03-14;Attack;attack - Left Winger;Left;181;23000.0;Slovakia
217026;964;Pavel Kireenko;1994-06-14;Attack;attack - Left Winger;Left;175;248000.0;Russia
255431;12438;Ilya Belous;1995-01-01;Attack;attack - Centre-Forward;Right;187;203000.0;Russia
88609;12438;Artem Danilenko;1990-03-22;Attack;attack - Centre-Forward;Right;182;;Russia
130196;9007;Yevgen Kolesnyk;1990-01-13;Midfield;midfield - Central Midfield;Right;178;;Ukraine
15379;12438;Dmitri Bulykin;1979-11-20;Attack;attack - Centre-Forward;;0;;Russia
15117;964;Konstantin Zyryanov;1977-10-05;Midfield;midfield - Central Midfield;Right;176;;Russia
232598;12438;Mulumba Mukendi;1985-05-27;Attack;attack - Centre-Forward;Right;193;;DR Congo
121327;3008;Matthew Fletcher;1992-06-01;Attack;attack - Centre-Forward;Both;181;;Australia
96898;2700;Alan Gatagov;1991-01-23;Midfield;midfield - Left Midfield;Left;181;;Russia
104941;3008;Gedo;1984-10-30;Attack;attack - Second Striker;Right;184;;Egypt
73566;3008;Cameron Stewart;1991-04-08;Attack;attack - Left Winger;Right;172;;England
45631;3008;Aaron Mclean;1983-05-25;Attack;attack - Centre-Forward;Right;171;;England
14013;3008;Matty Fryatt;1986-03-05;Attack;attack - Centre-Forward;Right;178;;England
6107;3008;Abdoulaye Faye;1978-02-26;Defender;Defender - Centre-Back;Left;187;;Senegal
3989;12438;Dmitri Sychev;1983-10-26;Attack;attack - Centre-Forward;Right;176;;Russia
260731;12438;Evgeniy Kozlov;1995-02-04;Attack;attack - Left Winger;Left;178;315000.0;Russia
38768;12438;Luton Shelton;1985-11-11;Attack;attack - Left Winger;Left;183;;Jamaica
282785;12438;Sergey Garanzha;1995-01-14;Attack;midfield - Attacking Midfield;Right;179;158000.0;Russia
98122;12438;Matija Dvornekovic;1989-01-01;Attack;attack - Right Winger;Right;177;45000.0;Croatia
48534;12438;Aleksandr Shulenin;1979-10-31;Attack;midfield - Attacking Midfield;Both;178;;Russia
146476;12438;Artur Minosyan;1989-08-04;Attack;midfield - Attacking Midfield;Both;178;;Russia
297034;12438;Ilya Petrov;1995-06-27;Midfield;midfield - Central Midfield;Left;177;450000.0;Russia
260673;12438;Roman Kuzovkin;1994-10-19;Midfield;midfield - Central Midfield;Right;176;;Russia
297032;12438;Nikita Nikolaev;1996-02-24;Defender;Defender - Left-Back;Left;173;;Russia
44432;12438;Adrian Ropotan;1986-05-08;Midfield;midfield - Central Midfield;Right;183;;Romania
297031;12438;Evgeniy Degtyarev;1993-02-07;Midfield;midfield - Defensive Midfield;Both;172;180000.0;Russia
207525;12438;Dmitri Mikhaylenko;1995-01-06;Midfield;midfield - Defensive Midfield;Left;172;;Russia
15907;12438;Andrey Karyaka;1978-04-01;Attack;attack - Left Winger;Right;180;;Russia
26683;12438;Mihaita Plesan;1983-02-19;Midfield;midfield - Central Midfield;Right;185;;Romania
42621;12438;Vitalie Bordian;1984-08-11;Defender;Defender - Right-Back;Both;178;;Moldova
85563;9007;Dominic Adiyiah;1989-11-29;Attack;attack - Right Winger;Right;172;135000.0;Ghana
29745;12438;Piotr Polczak;1986-09-25;Defender;Defender - Centre-Back;Right;192;;Poland
15730;12438;Evgeni Aldonin;1980-01-22;Midfield;midfield - Defensive Midfield;Right;179;;Russia
53719;12438;Ariel Borysiuk;1991-07-29;Midfield;midfield - Defensive Midfield;Right;180;248000.0;Poland
55743;12438;Simeon Bulgaru;1985-05-26;Defender;Defender - Centre-Back;Right;186;;Moldova
36298;12438;Marcin Kowalczyk;1985-04-09;Defender;Defender - Centre-Back;Right;182;;Poland
297033;12438;Fedor Osin;1994-02-10;Goalkeeper;Goalkeeper;Right;190;;Russia
